Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Gamma.model/importance/monad-bayes sampler/1024",5.103432308621797e-3,5.082853482709452e-3,5.124225923489092e-3,8.835911673715057e-5,7.498075337740792e-5,1.0505523502895564e-4
"Gamma.model/importance/monad-bayes sampler/8064",3.989891012420126e-2,3.971523744815516e-2,4.0065510180732934e-2,5.298149462793849e-4,4.231960523044902e-4,6.829246469285329e-4
"Gamma.model/importance/monad-bayes sampler/15104",7.397994232664694e-2,7.364324480599749e-2,7.434256730575818e-2,9.433246386020105e-4,7.911184031884317e-4,1.144269865978115e-3
"Gamma.model/importance/monad-bayes sampler/22144",0.1076745434573637,0.10704375921029997,0.10821785751906489,1.406930396902625e-3,1.133886145895849e-3,1.8158444858774256e-3
"Gamma.model/importance/monad-bayes sampler/29184",0.14251304112008523,0.14167869811501274,0.14330502899717393,1.904303601481916e-3,1.4862188384211312e-3,2.55323618505147e-3
"Gamma.model/importance/monad-bayes sampler/36224",0.17976354210331613,0.17842049391022669,0.18240746800959562,3.8069324302831544e-3,2.1401414361755565e-3,6.333857700729096e-3
"Gamma.model/importance/monad-bayes sampler/43264",0.21439399552445262,0.21215396795540506,0.216374880741849,4.406015697480459e-3,3.2119527034627855e-3,6.054621708770765e-3
"Gamma.model/importance/monad-bayes sampler/50304",0.24341575191852302,0.2423856236653426,0.24500965332622224,2.6483762795954362e-3,1.6931931513298124e-3,3.794166767347353e-3
"Gamma.model/importance/monad-bayes sampler/57344",0.2864641885270411,0.2848447146996891,0.28845273081889283,3.463521853797958e-3,2.846162511026841e-3,4.37247098592166e-3
"Gamma.model/importance/monad-bayes sampler/64384",0.3181299705733666,0.3167218275024689,0.31931823981349716,2.3016950754264592e-3,1.5709481407979822e-3,3.816583456333387e-3
"Gamma.model/importance/random-fu sampler/1024",7.377599987277058e-3,7.358202521875871e-3,7.39623092974828e-3,8.00217019570256e-5,6.983216138021291e-5,9.957504783433592e-5
"Gamma.model/importance/random-fu sampler/8064",5.979841044587424e-2,5.9630641241398205e-2,5.992851381286587e-2,4.184677312820631e-4,3.413678319792238e-4,5.497320337760853e-4
"Gamma.model/importance/random-fu sampler/15104",0.11248710761828143,0.11200056162618048,0.11307746944053118,1.2246841978814536e-3,8.868148287989598e-4,1.9027780292938895e-3
"Gamma.model/importance/random-fu sampler/22144",0.16448446606618822,0.16278313636305608,0.1657730393558798,3.174343823037109e-3,2.1388679227636806e-3,4.723067415456479e-3
"Gamma.model/importance/random-fu sampler/29184",0.2171569975943629,0.21597066068714094,0.21830242905743194,2.4033495627358652e-3,1.8454734590314765e-3,3.250770218720468e-3
"Gamma.model/importance/random-fu sampler/36224",0.2726390587566901,0.271374070224202,0.2756254754157055,3.538867490928023e-3,1.5756461711044837e-3,6.16755829403251e-3
"Gamma.model/importance/random-fu sampler/43264",0.321727264776083,0.32031375134160683,0.32449096082699597,3.473939961887501e-3,2.0568414974240752e-3,5.462371089594561e-3
"Gamma.model/importance/random-fu sampler/50304",0.3750508564196479,0.3725285938032083,0.3783200554586712,5.11725117160294e-3,2.5742611611699238e-3,8.451750667259979e-3
"Gamma.model/importance/random-fu sampler/57344",0.4269662439556658,0.4239863633859867,0.4294334157814326,4.637431938289282e-3,3.3219056264922747e-3,6.7030107387773975e-3
"Gamma.model/importance/random-fu sampler/64384",0.4858081650192514,0.48223467808147014,0.48815809660884657,4.357365850726051e-3,2.787821543606881e-3,6.667286591661691e-3
"Gamma.model/smc/monad-bayes sampler/1024",0.11629984463994256,0.11585537589976402,0.11698407232488217,1.334470859212311e-3,8.863710142581716e-4,2.4305024909908116e-3
"Gamma.model/smc/monad-bayes sampler/8064",0.905733834036304,0.9037064762866663,0.907622049021593,2.7227709362797783e-3,2.0007704527383132e-3,3.720424052255675e-3
"Gamma.model/smc/monad-bayes sampler/15104",1.7033799513332926,1.7012426544465828,1.7050145291299323,2.2300529771353997e-3,6.306941171616482e-4,2.7330808111369793e-3
"Gamma.model/smc/monad-bayes sampler/22144",2.494767058234394,2.4866078533547857,2.5017348251853733,1.118047031180176e-2,0.0,1.2068526374395623e-2
"Gamma.model/smc/monad-bayes sampler/29184",3.2839668400119155,3.2787910883550517,3.286712798718213,4.507351292789909e-3,0.0,4.75613999479407e-3
"Gamma.model/smc/monad-bayes sampler/36224",4.07997938523448,4.0737657952098845,4.084892332282941,7.636503934719073e-3,0.0,8.50947390283157e-3
"Gamma.model/smc/monad-bayes sampler/43264",4.876525762261045,4.872040600207957,4.879302812559829,4.202192952324232e-3,0.0,4.809992212667933e-3
"Gamma.model/smc/monad-bayes sampler/50304",5.682744840287259,5.674493470205026,5.6873503215031995,7.2894218220557055e-3,0.0,7.976927459314786e-3
"Gamma.model/smc/monad-bayes sampler/57344",6.469885994927323,6.456666423707621,6.47792001255898,1.2219808881158221e-2,0.0,1.391532672693521e-2
"Gamma.model/smc/monad-bayes sampler/64384",7.246597334678192,7.233149425471864,7.258842420305526,2.0247979815049437e-2,0.0,2.1209110449572924e-2
"Gamma.model/smc/random-fu sampler/1024",8.512391984181822e-2,8.48854891082203e-2,8.537661374288487e-2,6.592065820905434e-4,5.156310732125989e-4,8.944292861843373e-4
"Gamma.model/smc/random-fu sampler/8064",0.6669595161256385,0.6648215438295801,0.6692420389251058,3.3124457482887125e-3,2.2367099873579145e-3,4.788929561046617e-3
"Gamma.model/smc/random-fu sampler/15104",1.2445340803907965,1.2397687556478307,1.248523023561574,6.045559998196064e-3,4.741658938275635e-3,7.236955479301628e-3
"Gamma.model/smc/random-fu sampler/22144",1.815784593079575,1.8123063793994276,1.8176897497231892,3.326034613191037e-3,9.483326902067768e-4,4.3997708041556925e-3
"Gamma.model/smc/random-fu sampler/29184",2.3958084606227175,2.3935089478552123,2.3974540054069,2.485573267467737e-3,0.0,2.850167172334654e-3
"Gamma.model/smc/random-fu sampler/36224",2.969557830566997,2.964756189855239,2.972706870184315,4.725495075894681e-3,0.0,5.454296612242181e-3
"Gamma.model/smc/random-fu sampler/43264",3.549583160011346,3.53852991147227,3.558791812256922,1.4616658222620755e-2,0.0,1.594985355857142e-2
"Gamma.model/smc/random-fu sampler/50304",4.112223388538362,4.1064142418044325,4.117509763505807,8.73878991100703e-3,0.0,9.156270031475771e-3
"Gamma.model/smc/random-fu sampler/57344",4.6875330992327155,4.684238961137096,4.69054441763814,4.9888972862259144e-3,0.0,5.215756475961621e-3
"Gamma.model/smc/random-fu sampler/64384",5.2674655123712375,5.257297404804929,5.273376913004397,9.148952612290802e-3,0.0,1.023884624052702e-2
"Gamma.model/mh by time/monad-bayes sampler/1024",2.9121968465311142e-2,2.9045331000833237e-2,2.92045818648127e-2,2.567598319958516e-4,2.1915877166804552e-4,3.23974647487522e-4
"Gamma.model/mh by time/monad-bayes sampler/8064",0.22903003010190132,0.22848696215906744,0.22975155103456438,1.202675410185364e-3,7.835417142203184e-4,1.671109408032126e-3
"Gamma.model/mh by time/monad-bayes sampler/15104",0.4295501406083086,0.4278859451752711,0.43322434360407225,4.017232065266357e-3,1.5685720339510777e-3,6.468257327762643e-3
"Gamma.model/mh by time/monad-bayes sampler/22144",0.6310856998889002,0.6295542077645787,0.6325108888689976,2.316018969459988e-3,1.840914184816127e-3,3.011613513681598e-3
"Gamma.model/mh by time/monad-bayes sampler/29184",0.8321993960667614,0.8311123414404319,0.8336855965562079,1.8365835687369208e-3,1.2740586923102241e-3,2.4572135910805623e-3
"Gamma.model/mh by time/monad-bayes sampler/36224",1.0332656817903714,1.0305019318535542,1.034947836678633,2.8218393783083166e-3,1.4588005091405478e-3,4.043507883263562e-3
"Gamma.model/mh by time/monad-bayes sampler/43264",1.2384087058435567,1.2340291769738654,1.2448220971219683,6.981590985417438e-3,3.4744226793123403e-3,9.496628118680473e-3
"Gamma.model/mh by time/monad-bayes sampler/50304",1.4375833602296604,1.4340306747808957,1.4432865781114472,5.386947214666963e-3,2.7074884860170384e-4,6.720883182894428e-3
"Gamma.model/mh by time/monad-bayes sampler/57344",1.6425923361041643,1.6391827596627595,1.648300316377026,5.5456286892767714e-3,5.193236966798282e-4,7.354755808390904e-3
"Gamma.model/mh by time/monad-bayes sampler/64384",1.8378949809043408,1.8355441872390441,1.8398795159422499,2.5977237804234443e-3,1.0788509403474311e-3,3.3373375917617955e-3
"Gamma.model/mh by time/random-fu sampler/1024",2.5632806656454645e-2,2.5569723354116957e-2,2.5704257132410317e-2,2.350768673059852e-4,1.9343441484020253e-4,2.920169268871743e-4
"Gamma.model/mh by time/random-fu sampler/8064",0.20199362705006385,0.20145252202825112,0.20269284696851106,1.2183600705897506e-3,7.550497907378598e-4,1.990197898855162e-3
"Gamma.model/mh by time/random-fu sampler/15104",0.37817215835727697,0.3772331861961629,0.3790232782225708,1.5800321635773397e-3,1.0035845433682968e-3,2.455355875480344e-3
"Gamma.model/mh by time/random-fu sampler/22144",0.5537946525727349,0.55316902710624,0.5546434216223973,1.1060635999480982e-3,7.314619472318725e-4,1.4695844567987014e-3
"Gamma.model/mh by time/random-fu sampler/29184",0.7301217130458051,0.7274013679840813,0.733270373274557,4.373009357158272e-3,3.295856364900111e-3,5.813493345274117e-3
"Gamma.model/mh by time/random-fu sampler/36224",0.9048434586238815,0.9039974387376347,0.9067801109514129,1.6181641841950085e-3,5.822491955957257e-4,2.3165587290719476e-3
"Gamma.model/mh by time/random-fu sampler/43264",1.084017729043473,1.0790444436252877,1.0877257780944891,5.255702487307299e-3,3.276844826516893e-3,7.1195478747856904e-3
"Gamma.model/mh by time/random-fu sampler/50304",1.2554394008568415,1.2521835626498965,1.2598964282491727,4.843638227280374e-3,2.6802561622609367e-3,6.517113746824967e-3
"Gamma.model/mh by time/random-fu sampler/57344",1.4303479468123492,1.4291758722802648,1.4315200213444337,1.4518526786522345e-3,5.624200743052807e-4,1.8775451972300418e-3
"Gamma.model/mh by time/random-fu sampler/64384",1.6082690765293035,1.6040028977447354,1.6120357170837127,4.431866453298528e-3,3.7239745343776135e-3,4.9307691930593305e-3
"Gamma.exact/importance/monad-bayes sampler/1024",1.7358614785750205e-3,1.727144876793864e-3,1.7467783001503946e-3,4.245249084170652e-5,3.353558090893038e-5,6.030583919488739e-5
"Gamma.exact/importance/monad-bayes sampler/8064",1.3572468729804806e-2,1.353732940618305e-2,1.36155375543061e-2,1.4830632620699996e-4,1.2235866867773174e-4,1.8485948589432814e-4
"Gamma.exact/importance/monad-bayes sampler/15104",2.540462322063687e-2,2.5332501973267776e-2,2.5501935518476047e-2,2.8014354292117227e-4,2.178152129632675e-4,3.825703444638048e-4
"Gamma.exact/importance/monad-bayes sampler/22144",3.71240698964419e-2,3.6979519966650214e-2,3.729131713877288e-2,5.105741797999493e-4,4.1754186876726397e-4,6.82031922561732e-4
"Gamma.exact/importance/monad-bayes sampler/29184",4.925092432014337e-2,4.912836616564546e-2,4.939497000538643e-2,3.9729644931235945e-4,3.091381816296996e-4,5.587751874916563e-4
"Gamma.exact/importance/monad-bayes sampler/36224",6.1096195604579684e-2,6.092545452296896e-2,6.1398601807668124e-2,6.188670745097258e-4,4.1191377330395513e-4,9.67777360422806e-4
"Gamma.exact/importance/monad-bayes sampler/43264",7.325526359541036e-2,7.302800812100971e-2,7.358019620196975e-2,6.95779093104993e-4,5.46636057013105e-4,9.5129835250891e-4
