monad-bayes-0.1.0.0: benchmarks
Running 1 benchmarks...
Benchmark monad-bayes-bench: RUNNING...

model,reference,algorithm,sampler,test,1024,8064,15104,22144,29184,36224,43264,50304,57344,64384
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.6795642462602794e-2,1.5737217079768856e-3,2.6631460574282695e-3,1.840978743396291e-3,1.0643805850251928e-3,5.430149146427741e-4,4.8619650721701453e-4,4.3681796250713935e-4,3.3947485612787967e-4,2.9929121146793293e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.3090511758239316e-2,3.057751029144037e-3,2.1710404500454913e-3,8.494593423628645e-4,5.42918417500078e-4,4.537046236207401e-4,4.2030070566934926e-4,3.231607383690748e-4,2.656493378824381e-4,2.3399184913257116e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.445804975329479e-2,1.7096472386012528e-3,6.979675329120617e-4,3.218172293779164e-4,2.6759242524670285e-4,2.205564831599285e-4,1.62739010682137e-4,1.328866344219969e-4,1.28443913090282e-4,1.2527880985619837e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.4382576041484624e-2,2.980637884697914e-3,1.4278566531684335e-3,1.3106896735516143e-3,9.126806038406009e-4,7.307414055954502e-4,6.704290807869346e-4,5.12020357338659e-4,3.546960455930649e-4,2.858967190319172e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.041709470638736e-2,2.618797943891329e-3,1.8056031465908055e-3,8.889201145174902e-4,1.0051632738206783e-3,8.866672574882216e-4,8.007829854122896e-4,5.731270536226746e-4,4.145721912267622e-4,2.8200997822296075e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.9612432119498868e-2,1.8796776220720711e-3,9.697344882369307e-4,6.80035927211174e-4,3.968243470084302e-4,4.043682959318569e-4,6.873377586832206e-4,6.521748520692463e-4,5.206388316648784e-4,5.24944105444441e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,9.84203169479472e-3,1.5348180128424962e-3,1.0025928453475134e-3,9.427437147818587e-4,7.534698987002369e-4,5.234286043516606e-4,4.966973094492135e-4,3.403207033355578e-4,2.966902729273248e-4,3.028530738518272e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.864026422185328e-2,3.6836700303359273e-3,1.8755130399820085e-3,9.661929809717002e-4,6.891594626481294e-4,6.893523590420455e-4,5.986426703071636e-4,5.765422459181e-4,5.46220382184013e-4,3.434255446714734e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.0825061552026954e-2,3.1614388147115204e-3,1.782237260812731e-3,7.331081883082416e-4,9.257940744217621e-4,9.400009814439599e-4,8.575656105018834e-4,5.610609337097029e-4,2.837889752240873e-4,3.266386609709826e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.343595082494236e-2,1.9693901170190695e-3,1.1316055709854605e-3,8.067544716352975e-4,5.670244848616946e-4,5.255132123048068e-4,5.837782985231071e-4,5.536339243598846e-4,3.726353531023174e-4,3.5406675607319065e-4
