nohup: ignoring input and appending output to 'nohup.out'
monad-bayes-0.1.0.0: benchmarks
Running 1 benchmarks...
Benchmark monad-bayes-bench: RUNNING...

model,reference,algorithm,sampler,test,64,128,256,384,512,768,1024,1536,2048,3072,4096,6144,9984
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.14682762428371776,0.41628789982092096,0.6290565092515958,0.3124804626531525,0.19012628016478714,0.2263002184637346,0.24136379108453404,0.23415214203479084,0.23901229521591566,0.2667107014041634,0.24413880370790916,0.17148036271845898,0.1143528470954677
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.9216432985675008,0.4617100303439083,0.43098884873825166,0.4384369960104574,0.21091167306471037,0.17944023105707235,0.20452459804951886,0.27040124072546506,0.32824128167339656,0.35617410326417914,0.3027795392894078,0.3126171691161942,0.5440394903434274
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.1003358246622317,0.5231986144316104,0.6834050640786565,0.732626357914771,0.586342689626419,0.6432233831939335,0.7523221575261716,0.7880957424913839,0.7410581557892101,0.6127504651135715,0.38517808357673766,0.1849807056202473,0.1004522588029973
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.3539399894851707,1.4321919738537099,1.4977071979527963,1.4786018165024553,1.3951785423557463,1.3426761467998283,0.643484903272238,0.23552471118196713,0.1280102365788441,0.14458728157136663,0.24710409808705333,5.575364146439119e-2,0.2055719672547766
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.650460273870217,0.7230075155974127,0.5541134813336595,0.6258618187289612,0.7170826973914659,0.8529987296190863,0.8525603018646348,0.6727870109941899,0.6177837747072111,0.6353453557499601,0.3074177362061243,0.15047978705314458,8.834540556057964e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,2.5523122172465698,2.5992710559521197,1.2337428988345012,0.7271127074234796,0.749366244177429,0.6095733848297015,0.613778499795077,0.7188028505948123,0.4652051878927407,0.34939607472525286,0.29705115105920477,0.2463346580100069,0.274080499783042
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.0997003671699572,1.2990040117585369,0.9485196520773032,0.6867312517986125,0.6991224012570443,0.27161513168081985,0.2628028401390841,8.110301334986557e-2,3.994135694000031e-2,5.211825955928477e-2,6.0504948210467695e-2,9.077492039631185e-2,1.0622384280995201e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.3999753235055774,1.4729635654989048,0.8166055950094,0.656719037019763,0.2999996604198645,0.29955966827126435,0.19327436630001466,0.15311010895124835,0.3352515059448137,0.15544365883862396,0.18491025681531859,0.2052431704549289,5.655146607653891e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.2929135491164125,1.0434257812556862,0.5863707588023382,0.5776901529369765,0.6115372529006868,0.6573704463728515,0.7755315175876513,0.36370342944262857,0.35179106896201134,0.3435118835449489,0.2255560369369058,0.17611700600256652,4.6565354639130384e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.7294084607361786,0.9619463291276618,0.5354851979313845,0.5271356924014259,0.5229617715556646,0.5203426904787916,0.5393970873559049,0.5643985754283954,0.46203364473877817,0.15266037177370054,6.217422162203435e-2,4.44893092235122e-2,0.24511830039689453
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.5437399866531724,1.0493789807215106,0.37215817614187363,0.29905632099129653,0.4380601174168769,0.7141892772022118,0.6513720686398861,0.4605797153905559,0.4143831805640604,0.342558887669307,0.33124455309449474,8.226891392832761e-2,9.186737341272659e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.4469178117863837,0.5608337948096092,0.1464857933515026,0.18431541689113967,0.11740164862931277,0.10391599188136362,9.324431908358766e-2,0.11845227386075985,0.13996233532306632,0.22560137789909882,0.18428375359867516,7.100303076684375e-2,6.945034384549627e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.6289192773105527,1.8365059377435893,2.951057302873538,2.9915607229089365,2.914431531144075,2.9869522800000965,2.9834514916070347,2.258089926758929,1.8809765209806673,1.4562756816961848,1.0710416544832013,1.0237532104646951,0.76113438129424
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,1.3618527777355591,0.964465334641743,0.8201708479372446,0.8028015578511571,0.7998389279903764,0.832419314632904,0.7960280557169958,0.9369359134743446,1.0019609441406756,0.8080356060842978,0.6445181947924323,0.18901377054445861,6.481864078891296e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.5343868559297208,0.14847332238894093,0.28717411244560953,0.2984169958832639,0.3641937939480755,0.3698944274551198,0.30680691678904937,0.16950256305033806,0.14074281056752258,0.12036952678552931,0.11539318505790225,0.13006041993702813,1.0334153171440007e-2
DPmixture.dpMemClusters,posteriorClustersDist,mh by time,random-fu sampler,KL divergence,0.8086500063141632,0.9266037470258246,0.5585652057438659,0.3970907514040657,0.4230843388005686,0.1958898058741543,0.1777415346343424,0.1891244118449969,0.2002477915606907,0.11936485774847731,0.11220587286239068,0.12384534773230672,8.493711363141962e-2
